                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5883,                 3.4876,                 4.1927,                0.00373,                0.92799,                0.10146,                0.02296,                 2.4505,                 3.4342,                 4.0999,                0.00062,                0.00062,                0.00062
                      2,                 2.3801,                 3.2979,                 3.9031,                0.02869,                0.84615,                0.18823,                0.07513,                 2.2421,                 4.0797,                 4.4181,              0.0011353,              0.0011353,              0.0011353
                      3,                 2.1763,                 2.9161,                 3.4304,                0.05483,                0.78887,                0.25639,                0.09981,                 2.4167,                 3.7148,                 4.2674,              0.0015238,              0.0015238,              0.0015238
                      4,                 2.0769,                 2.7608,                 3.1514,                0.10112,                0.79705,                0.16857,                 0.0443,                 2.4365,                 3.2216,                 4.0516,               0.001406,               0.001406,               0.001406
                      5,                 1.9174,                 2.4914,                 2.9723,                0.70851,                0.58756,                 0.5015,                0.22854,                 1.9789,                 6.6237,                 3.3639,               0.001406,               0.001406,               0.001406
                      6,                 1.9157,                 2.3241,                 2.8755,                0.72486,                0.59935,                0.53516,                 0.2381,                 1.9342,                 2.7772,                  3.127,               0.001208,               0.001208,               0.001208
                      7,                 1.8755,                 2.2172,                 2.8274,                0.63254,                0.56627,                0.55713,                0.25123,                 1.9512,                 2.5485,                 2.9598,                0.00101,                0.00101,                0.00101
                      8,                 1.8555,                 2.0975,                 2.7429,                0.44169,                0.57283,                0.42185,                0.18394,                 2.1859,                 2.6305,                 2.9416,               0.000812,               0.000812,               0.000812
                      9,                 1.8348,                 2.0153,                 2.7294,                0.77084,                0.62759,                0.61586,                0.26783,                 2.0634,                 1.9796,                 2.7903,               0.000614,               0.000614,               0.000614
                     10,                 1.8647,                 1.9631,                  2.737,                0.65821,                0.57447,                0.55781,                0.23167,                 2.1592,                 2.0659,                 2.8705,               0.000416,               0.000416,               0.000416
